"part_order","part_file","part_size_bytes","part_sha256","database_size_bytes","database_sha256"
1,"shiny_minimal.duckdb.part001",41943040,"a835096bab4d80d47de377f083e8a8666e3e171e6b35e78c7b22f7f32937e693",149172224,"fb3b9a0a2dd30f6d6f14a67548a3b3c51a6ad438d4f9bf4c86fcd2200fbc7756"
2,"shiny_minimal.duckdb.part002",41943040,"d0bbbd9999d72bdddc1945859d153bd5cae5bd10d15e4446de40db06056654eb",149172224,"fb3b9a0a2dd30f6d6f14a67548a3b3c51a6ad438d4f9bf4c86fcd2200fbc7756"
3,"shiny_minimal.duckdb.part003",41943040,"af0e965c7caea4bd87feaf99c05a24ca58360336aec30de9c76935c841133009",149172224,"fb3b9a0a2dd30f6d6f14a67548a3b3c51a6ad438d4f9bf4c86fcd2200fbc7756"
4,"shiny_minimal.duckdb.part004",23343104,"50c3d0f09ba4b9c567ab63a615981368db80e495a81be3c9e5c6673e4d299586",149172224,"fb3b9a0a2dd30f6d6f14a67548a3b3c51a6ad438d4f9bf4c86fcd2200fbc7756"
